gene_name	num_isoforms
jade2	17
jak2	4
jsp.1	NA
kank4	4
kars	NA
kcna1	4
kcnj8	5
kcnt2	9
kctd14	2
kctd19	11
kdr	4
kiaa0040	6
kiaa1109	NA
kiaa1217	18
kiaa1755	7
kif5c	37
kiss1r	3
klhl10	4
klhl30	1
klhl5	7
kpna7	2
krt75	1
kynu	9
lap3	11
lap3p2	1
layn	10
lgals12	6
lgals17a	21
lgals3bp	19
lgals8	28
lgals9	16
lgals9	16
lgi2	2
linc01358	NA
lmo2	6
loc102554102	NA
loc103689996	NA
loc103690086	NA
loc497963	NA
loc500956	NA
loc685067	NA
lrch2	2
lrrk2	21
lrrn3	5
lrrtm2	4
ly6e	15
lysmd2	4
mab21l2	1
mak	7
map1lc3c	1
map2	19
marcksl1	1
mastl	4
mb21d1	NA
mb21d1	NA
mbl1p	2
mchr1	4
mfsd12	13
mgc105567	NA
mgc105649	NA
mgc108823	NA
mgst1	19
mic-2	NA
mir155hg	8
mitd1	9
mkx	4
mlkl	8
mob3c	3
morc3	12
morc3	12
mov10	26
mov10	26
mpp3	9
mpz	7
mrap2	1
ms4a8	9
mst1r	15
msx1	2
mt1m	2
mt1x	4
mtss1	18
muc1	26
mvb12b	6
mx	NA
mx1	48
mx1	48
mx2	18
mxd1	6
mxi1	38
mycbp2	29
myd88	15
myd88	15
n4bp1	6
n4bp1	6
nampt	49
nbn	38
nccrp1	1
ncf1	11
ncoa7	11
ndrg1	61
nek5	8
nemp2	6
nfkbia	21
nkx2-2	1
nkx3-1	2
nlrc4	5
nlrc5	29
nlrc5	29
nmi	4
nmi	4
nmur2	2
nod1	8
nod2	17
nostrin	13
nptx1	5
nr4a3	4
nrap	4
nrl	6
nt5c3a	10
nt5c3ap1	1
nt5c3b	16
nuak2	1
nub1	12
nub1	12
nup62cl	4
nxpe3	33
oas1	33
oas1	33
oas1a	NA
oas1f	NA
oas1x	NA
oas2	15
oas3	37
oas*a	NA
oasl	11
oasl2	NA
obfc1	NA
odf3b	NA
ogfr	3
olfml1	5
osmr	5
p2rx7	13
panx1	2
papd5	NA
parm1	2
parp10	23
parp11	8
parp12	12
parp12	12
parp14	7
parp14	7
parp15	6
parp8	21
parp9	8
parp9	8
parvg	11
patl2	9
pax2	12
pax3	15
pax5	18
pbef1	NA
pcdh17	4
pcgf5	5
pdcd1	5
pdcd1lg2	1
pde12	12
pde1b	9
pde2a	27
pdzd2	12
pgm2l1	2
pgr	10
phactr1	27
phactr4	9
phf11	18
phf11b	NA
pi15	3
pi4k2b	2
piga	19
pik3ap1	6
pik3cd	23
pik3r3	7
pkd1l1	8
pla2g7	2
plac8	18
plag1	5
plcxd2	5
plekha4	16
plekha7	21
plekhg1	9
plekhh1	16
plekhn1	5
plscr1	19
pmaip1	3
pml	22
pml	22
pnpt1	7
pnpt1	7
pnpt1p1	1
podxl	8
ppa1	6
ppm1j	5
ppm1k	10
ppp1r16b	4
ppp1r1b	10
prkd2	17
prm3	1
prmt8	4
prrg1	9
prrg2	5
prrg4	1
psma5	6
psmb10	5
psmb10	5
psmb8	7
psmb8	7
psmb8-as1	7
psmb9	5
psmb9	5
psme1	10
psme2	18
psme2	18
psors1c1	9
ptgdr	2
ptgir	7
ptpre	11
pvrl2	NA
pxk	14
rab20	1
rab27a	16
rab43	8
rab8b	5
rad9a	11
ralgds	15
rarres3	NA
rasa4	16
rasgef1b	13
rasgrp3	20
rbbp6	14
rbck1	20
rbck1	20
rbm43	2
rbms2	8
rbms2p1	1
rbp5	5
rec8	13
ret	13
rftn2	4
rfx5	21
rfx5	21
rfx6	3
rgcc	2
rgd1309362	NA
rgd1309808	NA
rgd1561157	NA
rgd1563091	NA
rgs16	1
rgs2	4
rhbdf2	20
rhbdl3	6
rhpn2	7
rictor	11
rictor	11
rinl	10
ripk2	4
rlf	1
rmi2	7
rnasel	2
rnd3	9
rnf114	8
rnf114	8
rnf152	5
rnf19b	3
rnf19b	3
rnf213	20
rnf213	20
rnf31	36
rorb	2
rp11-1260e13.4	NA
rp11-134l10.1	NA
rp11-148b18.4	NA
rp11-149i23.3	NA
rp11-326i11.5	NA
rp11-38l15.3	NA
rp11-434h6.6	NA
rp11-532f6.3	NA
rp11-661a12.5	NA
rp11-806h10.4	NA
rp3-508i15.21	NA
rp9	7
rparp-as1	NA
rps6ka2	14
rps6ka5	8
rsad2	9
rsad2	9
rt1-ce1	NA
rt1-ce3	NA
rt1-ce7	NA
rt1-n3	NA
rt1-s3	NA
rt1-t24-1	NA
rt1-t24-3	NA
rtp4	1
rubcn	11
runx3	5
rusc1-as1	22
rxfp1	11
s3bp	NA
samd9	3
samd9l	9
samhd1	30
sat1	8
sat1	8
scamp1-as1	5
scarb2	28
scel	5
scin	10
sclt1	10
scn10a	3
scn9a	13
scnn1g	1
